Source,Target,Source Name,Target Name,Common Users,Source Population,Target Population,Total Population,Exposure,Phi-Correlation,T-Test,P-values,Over-expression
ara,jpn,Arabic,Japanese,182,366643,2602426,17694811,6.99E-05,-0.060198731,-97.28921707,0,0.003375169
jpn,ara,Japanese,Arabic,182,2602426,366643,17694811,0.000496396,-0.060198731,-97.28921707,0,0.003375169
cat,glg,Catalan,Galician,181,32376,9302,17694811,0.019458181,0.009460271,1.702241645,0.044359839,10.63469347
glg,cat,Galician,Catalan,181,9302,32376,17694811,0.005590561,0.009460271,1.702241645,0.044359839,10.63469347
hat,msa,Haitian,Malay (macrolanguage),175,2600,1651705,17694811,0.000105951,-0.001084953,-1.394367458,0.081603429,0.721071193
msa,hat,Malay (macrolanguage),Haitian,175,1651705,2600,17694811,0.067307692,-0.001084953,-1.394367458,0.081603429,0.721071193
pol,spa,Polish,Spanish,172,8207,2043468,17694811,8.42E-05,-0.006371019,-9.107546627,4.22E-20,0.181477213
spa,pol,Spanish,Polish,172,2043468,8207,17694811,0.020957719,-0.006371019,-9.107546627,4.22E-20,0.181477213
ces,ita,Czech,Italian,170,24573,89242,17694811,0.001904933,0.000986939,0.29482917,0.384062534,1.371726012
ita,ces,Italian,Czech,170,89242,24573,17694811,0.006918162,0.000986939,0.29482917,0.384062534,1.371726012
rus,tur,Russian,Turkish,170,243159,233158,17694811,0.000729119,-0.012916135,-6.369600547,9.49E-11,0.053058404
tur,rus,Turkish,Russian,170,233158,243159,17694811,0.000699131,-0.012916135,-6.369600547,9.49E-11,0.053058404
ita,nld,Italian,Dutch,168,89242,435128,17694811,0.000386093,-0.010439102,-6.886432995,2.86E-12,0.076554176
nld,ita,Dutch,Italian,168,435128,89242,17694811,0.001882522,-0.010439102,-6.886432995,2.86E-12,0.076554176
